NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
750000,Vector,23,23,23,23,23,23
750000,VectorInitialized,25,25,25,25,25,25

800000,ArrayList,22,22,22,22,22,22
800000,ArrayList_Initialized,26,26,26,26,26,26
800000,LinkedList,36,36,36,36,36,36
800000,Vector,24,24,24,24,24,24
800000,VectorInitialized,26,26,26,26,26,26

850000,ArrayList,25,25,25,25,25,25
850000,ArrayList_Initialized,28,28,28,28,28,28
850000,LinkedList,39,39,39,39,39,39
850000,Vector,26,26,26,26,26,26
850000,VectorInitialized,28,28,28,28,28,28

900000,ArrayList,25,25,25,25,25,25
900000,ArrayList_Initialized,28,28,28,28,28,28
900000,LinkedList,41,41,41,41,41,41
900000,Vector,26,26,26,26,26,26
900000,VectorInitialized,28,28,28,28,28,28

950000,ArrayList,26,26,26,26,26,26
950000,ArrayList_Initialized,29,29,29,29,29,29
950000,LinkedList,43,43,43,43,43,43
950000,Vector,27,27,27,27,27,27
950000,VectorInitialized,29,29,29,29,29,29

1000000,ArrayList,27,27,27,27,27,27
1000000,ArrayList_Initialized,30,30,30,30,30,30
1000000,LinkedList,45,45,45,45,45,45
1000000,Vector,28,28,28,28,28,28
1000000,VectorInitialized,30,30,30,30,30,30

1050000,ArrayList,28,28,28,28,28,28
1050000,ArrayList_Initialized,31,31,31,31,31,31
1050000,LinkedList,47,47,47,47,47,47
1050000,Vector,29,29,29,29,29,29
1050000,VectorInitialized,31,31,31,31,31,31

1100000,ArrayList,28,28,28,28,28,28
1100000,ArrayList_Initialized,31,31,31,31,31,31
1100000,LinkedList,47,47,47,47,47,47
1100000,Vector,29,29,29,29,29,29
1100000,VectorInitialized,31,31,31,31,31,31

1150000,ArrayList,28,28,28,28,28,28
1150000,ArrayList_Initialized,31,31,31,31,31,31
1150000,LinkedList,47,47,47,47,47,47
1150000,Vector,29,29,29,29,29,29
1150000,VectorInitialized,31,31,31,31,31,31

1200000,ArrayList,28,28,28,28,28,28
1200000,ArrayList_Initialized,31,31,31,31,31,31
1200000,LinkedList,47,47,47,47,47,47
1200000,Vector,29,29,29,29,29,29
1200000,VectorInitialized,31,31,31,31,31,31

1250000,ArrayList,28,28,28,28,28,28
1250000,ArrayList_Initialized,31,31,31,31,31,31
1250000,LinkedList,47,47,47,47,47,47
1250000,Vector,29,29,29,29,29,29
1250000,VectorInitialized,31,31,31,31,31,31

1300000,ArrayList,28,28,28,28,28,28
1300000,ArrayList_Initialized,31,31,31,31,31,31
1300000,LinkedList,47,47,47,47,47,47
1300000,Vector,29,29,29,29,29,29
1300000,VectorInitialized,31,31,31,31,31,31

1350000,ArrayList,28,28,28,28,28,28
1350000,ArrayList_Initialized,31,31,31,31,31,31
1350000,LinkedList,47,47,47,47,47,47
1350000,Vector,29,29,29,29,29,29
1350000,VectorInitialized,31,31,31,31,31,31

1400000,ArrayList,28,28,28,28,28,28
1400000,ArrayList_Initialized,31,31,31,31,31,31
1400000,LinkedList,47,47,47,47,47,47
1400000,Vector,29,29,29,29,29,29
1400000,VectorInitialized,31,31,31,31,31,31

1450000,ArrayList,28,28,28,28,28,28
1450000,ArrayList_Initialized,31,31,31,31,31,31
1450000,LinkedList,47,47,47,47,47,47
1450000,Vector,29,29,29,29,29,29
1450000,VectorInitialized,31,31,31,31,31,31

1500000,ArrayList,28,28,28,28,28,28
1500000,ArrayList_Initialized,31,31,31,31,31,31
1500000,LinkedList,47,47,47,47,47,47
1500000,Vector,29,29,29,29,29,29
1500000,VectorInitialized,31,31,31,31,31,31

1550000,ArrayList,28,28,28,28,28,28
1550000,ArrayList_Initialized,31,31,31,31,31,31
1550000,LinkedList,47,47,47,47,47,47
1550000,Vector,29,29,29,29,29,29
1550000,VectorInitialized,31,31,31,31,31,31

1600000,ArrayList,28,28,28,28,28,28
1600000,ArrayList_Initialized,31,31,31,31,31,31
1600000,LinkedList,47,47,47,47,47,47
1600000,Vector,29,29,29,29,29,29
1600000,VectorInitialized,31,31,31,31,31,31

1650000,ArrayList,28,28,28,28,28,28
1650000,ArrayList_Initialized,31,31,31,31,31,31
1650000,LinkedList,47,47,47,47,47,47
1650000,Vector,29,29,29,29,29,29
1650000,VectorInitialized,31,31,31,31,31,31

1700000,ArrayList,28,28,28,28,28,28
1700000,ArrayList_Initialized,31,31,31,31,31,31
1700000,LinkedList,47,47,47,47,47,47
1700000,Vector,29,29,29,29,29,29
1700000,VectorInitialized,31,31,31,31,31,31

1750000,ArrayList,28,28,28,28,28,28
1750000,ArrayList_Initialized,31,31,31,31,31,31
1750000,LinkedList,47,47,47,47,47,47
1750000,Vector,29,29,29,29,29,29
1750000,VectorInitialized,31,31,31,31,31,31

1800000,ArrayList,28,28,28,28,28,28
1800000,ArrayList_Initialized,31,31,31,31,31,31
1800000,LinkedList,47,47,47,47,47,47
1800000,Vector,29,29,29,29,29,29
1800000,VectorInitialized,31,31,31,31,31,31

1850000,ArrayList,28,28,28,28,28,28
1850000,ArrayList_Initialized,31,31,31,31,31,31
1850000,LinkedList,47,47,47,47,47,47
1850000,Vector,29,29,29,29,29,29
1850000,VectorInitialized,31,31,31,31,31,31

1900000,ArrayList,28,28,28,28,28,28
1900000,ArrayList_Initialized,31,31,31,31,31,31
1900000,LinkedList,47,47,47,47,47,47
1900000,Vector,29,29,29,29,29,29
1900000,VectorInitialized,31,31,31,31,31,31

1950000,ArrayList,28,28,28,28,28,28
1950000,ArrayList_Initialized,31,31,31,31,31,31
1950000,LinkedList,47,47,47,47,47,47
1950000,Vector,29,29,29,29,29,29
1950000,VectorInitialized,31,31,31,31,31,31

2000000,ArrayList,28,28,28,28,28,28
2000000,ArrayList_Initialized,31,31,31,31,31,31
2000000,LinkedList,47,47,47,47,47,47
2000000,Vector,29,29,29,29,29,29
2000000,VectorInitialized,31,31,31,31,31,31

2050000,ArrayList,28,28,28,28,28,28
2050000,ArrayList_Initialized,31,31,31,31,31,31
2050000,LinkedList,47,47,47,47,47,47
2050000,Vector,29,29,29,29,29,29
2050000,VectorInitialized,31,31,31,31,31,31

2100000,ArrayList,28,28,28,28,28,28
2100000,ArrayList_Initialized,31,31,31,31,31,31
2100000,LinkedList,47,47,47,47,47,47
2100000,Vector,29,29,29,29,29,29
2100000,VectorInitialized,31,31,31,31,31,31

2150000,ArrayList,28,28,28,28,28,28
2150000,ArrayList_Initialized,31,31,31,31,31,31
2150000,LinkedList,47,47,47,47,47,47
2150000,Vector,29,29,29,29,29,29
2150000,VectorInitialized,31,31,31,31,31,31

2200000,ArrayList,28,28,28,28,28,28
2200000,ArrayList_Initialized,31,31,31,31,31,31
2200000,LinkedList,47,47,47,47,47,47
2200000,Vector,29,29,29,29,29,29
2200000,VectorInitialized,31,31,31,31,31,31

2250000,ArrayList,28,28,28,28,28,28
2250000,ArrayList_Initialized,31,31,31,31,31,31
2250000,LinkedList,47,47,47,47,47,47
2250000,Vector,29,29,29,29,29,29
2250000,VectorInitialized,31,31,31,31,31,31

2300000,ArrayList,28,28,28,28,28,28
2300000,ArrayList_Initialized,31,31,31,31,31,31
2300000,LinkedList,47,47,47,47,47,47
2300000,Vector,29,29,29,29,29,29
2300000,VectorInitialized,31,31,31,31,31,31

2350000,ArrayList,28,28,28,28,28,28
2350000,ArrayList_Initialized,31,31,31,31,31,31
2350000,LinkedList,47,47,47,47,47,47
2350000,Vector,29,29,29,29,29,29
2350000,VectorInitialized,31,31,31,31,31,31

2400000,ArrayList,28,28,28,28,28,28
2400000,ArrayList_Initialized,31,31,31,31,31,31
2400000,LinkedList,47,47,47,47,47,47
2400000,Vector,29,29,29,29,29,29
2400000,VectorInitialized,31,31,31,31,31,31

2450000,ArrayList,28,28,28,28,28,28
2450000,ArrayList_Initialized,31,31,31,31,31,31
2450000,LinkedList,47,47,47,47,47,47
2450000,Vector,29,29,29,29,29,29
2450000,VectorInitialized,31,31,31,31,31,31

2500000,ArrayList,28,28,28,28,28,28
2500000,ArrayList_Initialized,31,31,31,31,31,31
2500000,LinkedList,47,47,47,47,47,47
2500000,Vector,29,29,29,29,29,29
2500000,VectorInitialized,31,31,31,31,31,31

2550000,ArrayList,28,28,28,28,28,28
2550000,ArrayList_Initialized,31,31,31,31,31,31
2550000,LinkedList,47,47,47,47,47,47
2550000,Vector,29,29,29,29,29,29
2550000,VectorInitialized,31,31,31,31,31,31

2600000,ArrayList,28,28,28,28,28,28
2600000,ArrayList_Initialized,31,31,31,31,31,31
2600000,LinkedList,47,47,47,47,47,47
2600000,Vector,29,29,29,29,29,29
2600000,VectorInitialized,31,31,31,31,31,31

2650000,ArrayList,28,28,28,28,28,28
2650000,ArrayList_Initialized,31,31,31,31,31,31
2650000,LinkedList,47,47,47,47,47,47
2650000,Vector,29,29,29,29,29,29
2650000,VectorInitialized,31,31,31,31,31,31

2700000,ArrayList,28,28,28,28,28,28
2700000,ArrayList_Initialized,31,31,31,31,31,31
2700000,LinkedList,47,47,47,47,47,47
2700000,Vector,29,29,29,29,29,29
2700000,VectorInitialized,31,31,31,31,31,31

2750000,ArrayList,28,28,28,28,28,28
2750000,ArrayList_Initialized,31,31,31,31,31,31
2750000,LinkedList,47,47,47,47,47,47
2750000,Vector,29,29,29,29,29,29
2750000,VectorInitialized,31,31,31,31,31,31

2800000,ArrayList,28,28,28,28,28,28
2800000,ArrayList_Initialized,31,31,31,31,31,31
2800000,LinkedList,47,47,47,47,47,47
2800000,Vector,29,29,29,29,29,29
2800000,VectorInitialized,31,31,31,31,31,31

2850000,ArrayList,28,28,28,28,28,28
2850000,ArrayList_Initialized,31,31,31,31,31,31
2850000,LinkedList,47,47,47,47,47,47
2850000,Vector,29,29,29,29,29,29
2850000,VectorInitialized,31,31,31,31,31,31

2900000,ArrayList,28,28,28,28,28,28
2900000,ArrayList_Initialized,31,31,31,31,31,31
2900000,LinkedList,47,47,47,47,47,47
2900000,Vector,29,29,29,29,29,29
2900000,VectorInitialized,31,31,31,31,31,31

2950000,ArrayList,28,28,28,28,28,28
2950000,ArrayList_Initialized,31,31,31,31,31,31
2950000,LinkedList,47,47,47,47,47,47
2950000,Vector,29,29,29,29,29,29
2950000,VectorInitialized,31,31,31,31,31,31

3000000,ArrayList,28,28,28,28,28,28
3000000,ArrayList_Initialized,31,31,31,31,31,31
3000000,LinkedList,47,47,47,47,47,47
3000000,Vector,29,29,29,29,29,29
3000000,VectorInitialized,31,31,31,31,31,31

3050000,ArrayList,28,28,28,28,28,28
3050000,ArrayList_Initialized,31,31,31,31,31,31
3050000,LinkedList,47,47,47,47,47,47
3050000,Vector,29,29,29,29,29,29
3050000,VectorInitialized,31,31,31,31,31,31

3100000,ArrayList,28,28,28,28,28,28
3100000,ArrayList_Initialized,31,31,31,31,31,31
3100000,LinkedList,47,47,47,47,47,47
3100000,Vector,29,29,29,29,29,29
3100000,VectorInitialized,31,31,31,31,31,31

3150000,ArrayList,28,28,28,28,28,28
3150000,ArrayList_Initialized,31,31,31,31,31,31
3150000,LinkedList,47,47,47,47,47,47
3150000,Vector,29,29,29,29,29,29
3150000,VectorInitialized,31,31,31,31,31,31

3200000,ArrayList,28,28,28,28,28,28
3200000,ArrayList_Initialized,31,31,31,31,31,31
3200000,LinkedList,47,47,47,47,47,47
3200000,Vector,29,29,29,29,29,29
3200000,VectorInitialized,31,31,31,31,31,31

3250000,ArrayList,28,28,28,28,28,28
3250000,ArrayList_Initialized,31,31,31,31,31,31
3250000,LinkedList,47,47,47,47,47,47
3250000,Vector,29,29,29,29,29,29
3250000,VectorInitialized,31,31,31,31,31,31

3300000,ArrayList,28,28,28,28,28,28
3300000,ArrayList_Initialized,31,31,31,31,31,31
3300000,LinkedList,47,47,47,47,47,47
3300000,Vector,29,29,29,29,29,29
3300000,VectorInitialized,31,31,31,31,31,31

3350000,ArrayList,28,28,28,28,28,28
3350000,ArrayList_Initialized,31,31,31,31,31,31
3350000,LinkedList,47,47,47,47,47,47
3350000,Vector,29,29,29,29,29,29
3350000,VectorInitialized,31,31,31,31,31,31

3400000,ArrayList,28,28,28,28,28,28
3400000,ArrayList_Initialized,31,31,31,31,31,31
3400000,LinkedList,47,47,47,47,47,47
3400000,Vector,29,29,29,29,29,29
3400000,VectorInitialized,31,31,31,31,31,31

3450000,ArrayList,28,28,28,28,28,28
3450000,ArrayList_Initialized,31,31,31,31,31,31
3450000,LinkedList,47,47,47,47,47,47
3450000,Vector,29,29,29,29,29,29
3450000,VectorInitialized,31,31,31,31,31,31

3500000,ArrayList,28,28,28,28,28,28
3500000,ArrayList_Initialized,31,31,31,31,31,31
3500000,LinkedList,47,47,47,47,47,47
3500000,Vector,29,29,29,29,29,29
3500000,VectorInitialized,31,31,31,31,31,31

3550000,ArrayList,28,28,28,28,28,28
3550000,ArrayList_Initialized,31,31,31,31,31,31
3550000,LinkedList,47,47,47,47,47,47
3550000,Vector,29,29,29,29,29,29
3550000,VectorInitialized,31,31,31,31,31,31

3600000,ArrayList,28,28,28,28,28,28
3600000,ArrayList_Initialized,31,31,31,31,31,31
3600000,LinkedList,47,47,47,47,47,47
3600000,Vector,29,29,29,29,29,29
3600000,VectorInitialized,31,31,31,31,31,31

3650000,ArrayList,28,28,28,28,28,28
3650000,ArrayList_Initialized,31,31,31,31,31,31
3650000,LinkedList,47,47,47,47,47,47
3650000,Vector,29,29,29,29,29,29
3650000,VectorInitialized,31,31,31,31,31,31

3700000,ArrayList,28,28,28,28,28,28
3700000,ArrayList_Initialized,31,31,31,31,31,31
3700000,LinkedList,47,47,47,47,47,47
3700000,Vector,29,29,29,29,29,29
3700000,VectorInitialized,31,31,31,31,31,31

3750000,ArrayList,28,28,28,28,28,28
3750000,ArrayList_Initialized,31,31,31,31,31,31
3750000,LinkedList,47,47,47,47,47,47
3750000,Vector,29,29,29,29,29,29
3750000,VectorInitialized,31,31,31,31,31,31

3800000,ArrayList,28,28,28,28,28,28
3800000,ArrayList_Initialized,31,31,31,31,31,31
3800000,LinkedList,47,47,47,47,47,47
3800000,Vector,29,29,29,29,29,29
3800000,VectorInitialized,31,31,31,31,31,31

3850000,ArrayList,28,28,28,28,28,28
3850000,ArrayList_Initialized,31,31,31,31,31,31
3850000,LinkedList,47,47,47,47,47,47
3850000,Vector,29,29,29,29,29,29
3850000,VectorInitialized,31,31,31,31,31,31

3900000,ArrayList,28,28,28,28,28,28
3900000,ArrayList_Initialized,31,31,31,31,31,31
3900000,LinkedList,47,47,47,47,47,47
3900000,Vector,29,29,29,29,29,29
3900000,VectorInitialized,31,31,31,31,31,31

3950000,ArrayList,28,28,28,28,28,28
3950000,ArrayList_Initialized,31,31,31,31,31,31
3950000,LinkedList,47,47,47,47,47,47
3950000,Vector,29,29,29,29,29,29
3950000,VectorInitialized,31,31,31,31,31,31

4000000,ArrayList,28,28,28,28,28,28
4000000,ArrayList_Initialized,31,31,31,31,31,31
4000000,LinkedList,47,47,47,47,47,47
4000000,Vector,29,29,29,29,29,29
4000000,VectorInitialized,31,31,31,31,31,31

4050000,ArrayList,28,28,28,28,28,28
4050000,ArrayList_Initialized,31,31,31,31,31,31
4050000,LinkedList,47,47,47,47,47,47
4050000,Vector,29,29,29,29,29,29
4050000,VectorInitialized,31,31,31,31,31,31

4100000,ArrayList,28,28,28,28,28,28
4100000,ArrayList_Initialized,31,31,31,31,31,31
4100000,LinkedList,47,47,47,47,47,47
4100000,Vector,29,29,29,29,29,29
4100000,VectorInitialized,31,31,31,31,31,31

4150000,ArrayList,28,28,28,28,28,28
4150000,ArrayList_Initialized,31,31,31,31,31,31
4150000,LinkedList,47,47,47,47,47,47
4150000,Vector,29,29,29,29,29,29
4150000,VectorInitialized,31,31,31,31,31,31

4200000,ArrayList,28,28,28,28,28,28
4200000,ArrayList_Initialized,31,31,31,31,31,31
4200000,LinkedList,47,47,47,47,47,47
4200000,Vector,29,29,29,29,29,29
4200000,VectorInitialized,31,31,31,31,31,31

4250000,ArrayList,28,28,28,28,28,28
4250000,ArrayList_Initialized,31,31,31,31,31,31
4250000,LinkedList,47,47,47,47,47,47
4250000,Vector,29,29,29,29,29,29
4250000,VectorInitialized,31,31,31,31,31,31

4300000,ArrayList,28,28,28,28,28,28
4300000,ArrayList_Initialized,31,31,31,31,31,31
4300000,LinkedList,47,47,47,47,47,47
4300000,Vector,29,29,29,29,29,29
4300000,VectorInitialized,31,31,31,31,31,31

4350000,ArrayList,28,28,28,28,28,28
4350000,ArrayList_Initialized,31,31,31,31,31,31
4350000,LinkedList,47,47,47,47,47,47
4350000,Vector,29,29,29,29,29,29
4350000,VectorInitialized,31,31,31,31,31,31

4400000,ArrayList,28,28,28,28,28,28
4400000,ArrayList_Initialized,31,31,31,31,31,31
4400000,LinkedList,47,47,47,47,47,47
4400000,Vector,29,29,29,29,29,29
4400000,VectorInitialized,31,31,31,31,31,31

4450000,ArrayList,28,28,28,28,28,28
4450000,ArrayList_Initialized,31,31,31,31,31,31
4450000,LinkedList,47,47,47,47,47,47
4450000,Vector,29,29,29,29,29,29
4450000,VectorInitialized,31,31,31,31,31,31

4500000,ArrayList,28,28,28,28,28,28
4500000,ArrayList_Initialized,31,31,31,31,31,31
4500000,LinkedList,47,47,47,47,47,47
4500000,Vector,29,29,29,29,29,29
4500000,VectorInitialized,31,31,31,31,31,31

4550000,ArrayList,28,28,28,28,28,28
4550000,ArrayList_Initialized,31,31,31,31,31,31
4550000,LinkedList,47,47,47,47,47,47
4550000,Vector,29,29,29,29,29,29
4550000,VectorInitialized,31,31,31,31,31,31

4600000,ArrayList,28,28,28,28,28,28
4600000,ArrayList_Initialized,31,31,31,31,31,31
4600000,LinkedList,47,47,47,47,47,47
4600000,Vector,29,29,29,29,29,29
4600000,VectorInitialized,31,31,31,31,31,31

4650000,ArrayList,28,28,28,28,28,28
4650000,ArrayList_Initialized,31,31,31,31,31,31
4650000,LinkedList,47,47,47,47,47,47
4650000,Vector,29,29,29,29,29,29
4650000,VectorInitialized,31,31,31,31,31,31

4700000,ArrayList,28,28,28,28,28,28
4700000,ArrayList_Initialized,31,31,31,31,31,31
4700000,LinkedList,47,47,47,47,47,47
4700000,Vector,29,29,29,29,29,29
4700000,VectorInitialized,31,31,31,31,31,31

4750000,ArrayList,28,28,28,28,28,28
4750000,ArrayList_Initialized,31,31,31,31,31,31
4750000,LinkedList,47,47,47,47,47,47
4750000,Vector,29,29,29,29,29,29
4750000,VectorInitialized,31,31,31,31,31,31

4800000,ArrayList,28,28,28,28,28,28
4800000,ArrayList_Initialized,31,31,31,31,31,31
4800000,LinkedList,47,47,47,47,47,47
4800000,Vector,29,29,29,29,29,29
4800000,VectorInitialized,31,31,31,31,31,31

4850000,ArrayList,28,28,28,28,28,28
4850000,ArrayList_Initialized,31,31,31,31,31,31
4850000,LinkedList,47,47,47,47,47,47
4850000,Vector,29,29,29,29,29,29
4850000,VectorInitialized,31,31,31,31,31,31

4900000,ArrayList,28,28,28,28,28,28
4900000,ArrayList_Initialized,31,31,31,31,31,31
4900000,LinkedList,47,47,47,47,47,47
4900000,Vector,29,29,29,29,29,29
4900000,VectorInitialized,31,31,31,31,31,31

4950000,ArrayList,28,28,28,28,28,28
4950000,ArrayList_Initialized,31,31,31,31,31,31
4950000,LinkedList,47,47,47,47,47,47
4950000,Vector,29,29,29,29,29,29
4950000,VectorInitialized,31,31,31,31,31,31

5000000,ArrayList,28,28,28,28,28,28
5000000,ArrayList_Initialized,31,31,31,31,31,31
5000000,LinkedList,47,47,47,47,47,47
5000000,Vector,29,29,29,29,29,29
5000000,VectorInitialized,31,31,31,31,31,31

5050000,ArrayList,28,28,28,28,28,28
5050000,ArrayList_Initialized,31,31,31,31,31,31
5050000,LinkedList,47,47,47,47,47,47
5050000,Vector,29,29,29,29,29,29
5050000,VectorInitialized,31,31,31,31,31,31
